Macrophages,Fibroblasts,CD4_T,Unassigned,Plasma,Endothelial,OC,NK_Cells,Pericytes,Normal_Epithelial,Monocytes,Myofibroblasts,Adipocytes,CD8_T,B_Cells,Mast,Mesothelial,Tregs,Smooth_Muscle,BC,EC
,,,,,,MAFK,,,RDH5,,,,,,,,,,UBAP1,CPM
,,,,,,RALA,,,SMARCD3,,,,,,,,,,SATB2,PLXNA2
,,,,,,SLC30A2,,,CDKN1B,,,,,,,,,,SLFN11,GSTO1
,,,,,,DUSP18,,,STK10,,,,,,,,,,C20orf204,ARAP1
,,,,,,PRKCH,,,FKBP10,,,,,,,,,,DNAJB2,SPON2
,,,,,,C8orf88,,,DDX60,,,,,,,,,,NUF2,SESN1
,,,,,,NDUFB2,,,CEP290,,,,,,,,,,ATP6V0A2,ATM
,,,,,,PDE4DIP,,,KLHL14,,,,,,,,,,PRDM2,CITED2
,,,,,,EHF,,,IRF2BPL,,,,,,,,,,TAP1,MDM1
,,,,,,LGALS1,,,RASSF5,,,,,,,,,,FLT3LG,DSC2
,,,,,,ARL4D,,,HECTD2,,,,,,,,,,CFH,PBX1
,,,,,,PLEC,,,BMP2,,,,,,,,,,EFNB1,SPATA6
,,,,,,SERTAD1,,,ITSN2,,,,,,,,,,WDR48,TMEM231
,,,,,,FAM241A,,,CARD16,,,,,,,,,,NAP1L5,PPP1R14A
,,,,,,AMIGO2,,,ARL13B,,,,,,,,,,TJP2,TMEM220
,,,,,,SMARCA2,,,DGKH,,,,,,,,,,FRYL,RNFT1
,,,,,,PALLD,,,FADS3,,,,,,,,,,CCPG1,DLC1
,,,,,,VAMP2,,,UACA,,,,,,,,,,ARHGAP21,SOX5
,,,,,,SST,,,FBXL3,,,,,,,,,,KMO,ZNF704
,,,,,,FILIP1L,,,CLK1,,,,,,,,,,CSRP1,PRKCA
,,,,,,ADIRF,,,COL16A1,,,,,,,,,,ABCA5,PRSS23
,,,,,,ALDH2,,,CHN2,,,,,,,,,,LRRC37B,RPS27L
,,,,,,TLR2,,,CPEB4,,,,,,,,,,RAD50,CCDC88C
,,,,,,LUCAT1,,,INO80D,,,,,,,,,,GNA15,HMGN1
,,,,,,RAB39B,,,ARHGEF10,,,,,,,,,,TPD52,UQCRQ
,,,,,,GFPT2,,,GTDC1,,,,,,,,,,RAPGEF2,P4HA1
,,,,,,CCND2,,,DCP2,,,,,,,,,,ASAH1,TMEM154
,,,,,,DNAJB4,,,N4BP2,,,,,,,,,,ZNF160,CC2D2A
,,,,,,CXCL17,,,XRN1,,,,,,,,,,GTF2IRD2,GREB1
,,,,,,DEFB4A,,,PROM1,,,,,,,,,,FOXO4,ZNF100
,,,,,,USP53,,,ADAM19,,,,,,,,,,HIPK2,HOXA-AS3
,,,,,,RHOBTB3,,,DOCK9,,,,,,,,,,RIPK1,SSBP2
,,,,,,OXTR,,,NIFK-AS1,,,,,,,,,,PBX4,EMX2OS
,,,,,,LONRF2,,,CLASP1,,,,,,,,,,STARD3,STC1
,,,,,,DHRS7,,,MFAP2,,,,,,,,,,SRGAP1,PDPR
,,,,,,PLD3,,,TTC33,,,,,,,,,,MAN2A1,NPDC1
,,,,,,HSPB8,,,PIK3IP1,,,,,,,,,,GPATCH8,GRAMD4
,,,,,,EIF5A,,,GPAT4,,,,,,,,,,ERCC6L2,CYB5A
,,,,,,PLEKHF1,,,ZBED2,,,,,,,,,,LRRC10B,FAM111A
,,,,,,CTHRC1,,,EXOSC6,,,,,,,,,,RAB11FIP2,DYNC2H1
,,,,,,RASSF8-AS1,,,TDRP,,,,,,,,,,PCMTD1,MARCKS
,,,,,,SDCBP2,,,LEMD3,,,,,,,,,,ZNF699,HES6
,,,,,,PALMD,,,CDC42SE2,,,,,,,,,,IFITM10,SPTBN1
,,,,,,LEF1,,,FMNL1,,,,,,,,,,RHBDF2,RABGAP1L
,,,,,,EZR,,,PTPN1,,,,,,,,,,ULK4,RAMP1
,,,,,,LINC01436,,,LIMS1,,,,,,,,,,RAB3IP,RASSF6
,,,,,,TPRA1,,,LMBR1L,,,,,,,,,,TTC33,PLEKHB1
,,,,,,PYCARD,,,KIAA1328,,,,,,,,,,INO80,ID3
,,,,,,CCDC74A,,,ARL17B,,,,,,,,,,SKI,FADS2
,,,,,,DNALI1,,,OSGIN2,,,,,,,,,,CBX7,IL33
,,,,,,RGS2,,,SMYD4,,,,,,,,,,SLC39A4,GADD45G
,,,,,,HECTD4,,,TNIP1,,,,,,,,,,RAP2B,KCNRG
,,,,,,AKR1C1,,,COL4A2,,,,,,,,,,NPHP3,HSD17B11
,,,,,,ZBTB38,,,PDE8A,,,,,,,,,,ADAMTS4,MLLT3
,,,,,,ABR,,,KAT6A,,,,,,,,,,PLAUR,SPEF2
,,,,,,TTC9,,,CCDC102B,,,,,,,,,,JHY,JSRP1
,,,,,,ARL10,,,MPP1,,,,,,,,,,PCGF5,HOXA5
,,,,,,SPATA13,,,HSPA1A,,,,,,,,,,IDS,NEK5
,,,,,,ASPHD2,,,LPIN1,,,,,,,,,,MAP2K1,TSPAN5
,,,,,,NMU,,,ADAMTSL4,,,,,,,,,,BCL6,TRPS1
,,,,,,BTG2,,,TINF2,,,,,,,,,,FBXW7,HSPA8
,,,,,,NPW,,,GPATCH8,,,,,,,,,,HERC6,XBP1
,,,,,,MIR181A1HG,,,THSD7A,,,,,,,,,,CCDC115,PSPH
,,,,,,DEFB1,,,TSPYL2,,,,,,,,,,ELL,VCAN
,,,,,,LHFPL2,,,PXDN,,,,,,,,,,RGS5,TMC5
,,,,,,SLC6A14,,,ADRB2,,,,,,,,,,SDF2L1,BAIAP3
,,,,,,DEDD2,,,BDKRB1,,,,,,,,,,CAMTA2,TUBA1A
,,,,,,TSC22D1,,,LRRC75A,,,,,,,,,,GPRASP1,TCF4
,,,,,,GALNT5,,,MOAP1,,,,,,,,,,SMYD3,SNRPN
,,,,,,SNCA,,,CYTH1,,,,,,,,,,ACOT9,RFXAP
,,,,,,CTSF,,,SGSH,,,,,,,,,,IQGAP2,KCNN3
,,,,,,GJB3,,,USP47,,,,,,,,,,SLC1A4,IL18
,,,,,,ARHGEF3,,,TGIF2,,,,,,,,,,NDEL1,TGFBI
,,,,,,PAM,,,APAF1,,,,,,,,,,MED23,DEGS2
,,,,,,ALOX5,,,PIBF1,,,,,,,,,,DUSP2,MLPH
,,,,,,LINC00992,,,ARHGAP21,,,,,,,,,,MET,SAMHD1
,,,,,,BTNL9,,,BIN1,,,,,,,,,,KIAA1217,STMN1
,,,,,,PKIG,,,SIPA1L1,,,,,,,,,,PARP4,ARHGAP18
,,,,,,KRT13,,,CDC42SE1,,,,,,,,,,EVA1B,LUM
,,,,,,HLA-DRB1,,,KANK2,,,,,,,,,,DENND6A,CFD
,,,,,,PDK4,,,SNX25,,,,,,,,,,RUNX2,UBE2T
,,,,,,IFITM2,,,UBA6,,,,,,,,,,SOAT1,SPARCL1
,,,,,,VAMP5,,,OXNAD1,,,,,,,,,,ACO1,CCND2
,,,,,,TSPAN1,,,HELZ2,,,,,,,,,,GRAMD1A,SPATA18
,,,,,,CRYL1,,,MCF2L2,,,,,,,,,,RAB38,IGFBP4
,,,,,,NBL1,,,SP110,,,,,,,,,,PHC2,CFAP54
,,,,,,ECI2,,,SH2B3,,,,,,,,,,RIPOR1,PDGFRB
,,,,,,GLIS3,,,HDAC5,,,,,,,,,,KALRN,DNAJB13
,,,,,,ZYX,,,EFNB2,,,,,,,,,,CP,KLHL14
,,,,,,SYTL3,,,NUCB2,,,,,,,,,,CASP3,SPAG8
,,,,,,DUSP14,,,ZNF331,,,,,,,,,,SLC43A2,UBXN10
,,,,,,TMEM45B,,,JAK2,,,,,,,,,,RASD2,COL3A1
,,,,,,COL7A1,,,RGPD5,,,,,,,,,,QPCT,C11orf16
,,,,,,ST3GAL1,,,HOXB-AS1,,,,,,,,,,PTPN13,EFHC1
,,,,,,PAQR8,,,RFTN1,,,,,,,,,,SBF2,CCDC17
,,,,,,NOTUM,,,PRCP,,,,,,,,,,QKI,ERG
,,,,,,TIPARP,,,BTBD1,,,,,,,,,,HMMR,PEG10
,,,,,,AKR1C3,,,RASSF6,,,,,,,,,,SLF1,ADAM28
,,,,,,ASRGL1,,,PUS7L,,,,,,,,,,ATXN3,CFAP70
,,,,,,LNX1,,,PPP1R3C,,,,,,,,,,COL15A1,DNAH6
,,,,,,ARL6IP5,,,NXF1,,,,,,,,,,GABARAPL1,SESN3
,,,,,,ADAP2,,,ZNF101,,,,,,,,,,RORA,HSPA2
,,,,,,TCN2,,,PHC3,,,,,,,,,,KDM3A,LPAR6
,,,,,,CPXM1,,,CAPN7,,,,,,,,,,ITGB4,SPDEF
,,,,,,JAZF1,,,PPP2R5C,,,,,,,,,,PEX1,ANXA1
,,,,,,VNN1,,,ORAI1,,,,,,,,,,LEMD3,CEP126
,,,,,,IGFBP4,,,SLC12A2,,,,,,,,,,NPC2,PKDCC
,,,,,,LAMB3,,,STMN3,,,,,,,,,,FURIN,HEY1
,,,,,,CFAP70,,,GNG4,,,,,,,,,,MDM4,ADAMTS7
,,,,,,CTH,,,PHACTR1,,,,,,,,,,ZNF141,FHAD1
,,,,,,FAM3B,,,SYT8,,,,,,,,,,MAFK,ERICH3
,,,,,,RNASET2,,,PASK,,,,,,,,,,RPS6KA5,LRRIQ1
,,,,,,TXNIP,,,USPL1,,,,,,,,,,SLC39A10,DRC1
,,,,,,CLCF1,,,SPRED1,,,,,,,,,,ATP11B,PGR
,,,,,,CDKN1A,,,NORAD,,,,,,,,,,BMP2,TMEM232
,,,,,,GAST,,,NAP1L5,,,,,,,,,,OSTF1,LEF1
,,,,,,PPM1M,,,GYPC,,,,,,,,,,TSPAN14,ESR1
,,,,,,LINC00685,,,STEAP1,,,,,,,,,,COG3,DYNLRB2
,,,,,,IGF1,,,PAN3,,,,,,,,,,ENPP4,TMX4
,,,,,,STK17A,,,COL12A1,,,,,,,,,,NABP1,CCDC187
,,,,,,RAB30,,,TYW1B,,,,,,,,,,MHENCR,CCDC170
,,,,,,GALNT18,,,BACH1,,,,,,,,,,FKBP4,CALM1
,,,,,,PTMS,,,MUC20-OT1,,,,,,,,,,GADD45G,RSPH4A
,,,,,,TCEA3,,,ZBTB10,,,,,,,,,,AP3M2,TP53AIP1
,,,,,,RERG,,,GJC3,,,,,,,,,,BTN2A2,PLPP2
,,,,,,CLGN,,,MBP,,,,,,,,,,BICDL1,PRR29
,,,,,,LINC00513,,,ICAM1,,,,,,,,,,PARP8,SERPINA6
,,,,,,CDSN,,,UBE2D1,,,,,,,,,,MIR4458HG,NT5E
,,,,,,ZFAND2A,,,PAN2,,,,,,,,,,SYTL3,MRLN
,,,,,,IER2,,,PI4K2A,,,,,,,,,,PSEN1,CFAP157
,,,,,,PPM1N,,,ADA,,,,,,,,,,FNDC4,SAXO2
,,,,,,PEA15,,,RAB2B,,,,,,,,,,PIBF1,KIF19
,,,,,,MYEOV,,,RUBCN,,,,,,,,,,ICAM3,CFAP43
,,,,,,SQSTM1,,,IL1R2,,,,,,,,,,RILPL2,MDK
,,,,,,CKMT2,,,CREM,,,,,,,,,,PPM1D,HOXA10
,,,,,,SBSPON,,,DAPP1,,,,,,,,,,WASHC4,CD164L2
,,,,,,VGLL3,,,SMYD3,,,,,,,,,,RGS10,PIGR
,,,,,,APBB1,,,CRTC2,,,,,,,,,,KDM4C,VWA3A
,,,,,,DLC1,,,NRF1,,,,,,,,,,MBOAT1,PPIB
,,,,,,DRC3,,,MET,,,,,,,,,,KLHL28,SORBS2
,,,,,,CD59,,,ABCC4,,,,,,,,,,MAP3K4,CFAP46
,,,,,,SMARCD3,,,CSGALNACT2,,,,,,,,,,S1PR3,FABP6
,,,,,,IL10RA,,,TSC1,,,,,,,,,,DUSP8,CXCL14
,,,,,,TNIK,,,DNAH2,,,,,,,,,,BCAM,HOXA9
,,,,,,HLA-DPB1,,,VPS13C,,,,,,,,,,TMEM167B,RPL23
,,,,,,KREMEN1,,,NFKBIZ,,,,,,,,,,SSBP2,RIIAD1
,,,,,,HLA-DRA,,,RALGAPA1,,,,,,,,,,EIF1B,C11orf97
,,,,,,GLRX,,,C2CD5,,,,,,,,,,CNKSR3,GPX4
,,,,,,LBH,,,LTC4S,,,,,,,,,,ZNF394,FBLN1
,,,,,,CYB5A,,,RALGAPA2,,,,,,,,,,CTDSP1,MSX1
,,,,,,KCTD11,,,ARHGAP18,,,,,,,,,,PLEKHH2,TMSB10
,,,,,,IL18,,,CCDC69,,,,,,,,,,RABGEF1,CERKL
,,,,,,AP1M2,,,LCAT,,,,,,,,,,CALCOCO1,FAM181B
,,,,,,CCDC3,,,KAZN,,,,,,,,,,JAZF1,GUCY1A1
,,,,,,IQCG,,,TOP3A,,,,,,,,,,NDE1,HOXD8
,,,,,,MIF,,,STC2,,,,,,,,,,CTSF,MAP3K19
,,,,,,IL24,,,MT-ATP6,,,,,,,,,,ANKRA2,CFAP299
,,,,,,SELENBP1,,,HDGFL3,,,,,,,,,,PDLIM5,C22orf15
,,,,,,CEP126,,,XPA,,,,,,,,,,ELL2,ZNF295-AS1
,,,,,,KLF4,,,ATXN7L3,,,,,,,,,,CD9,MSX2
,,,,,,AR,,,MSL2,,,,,,,,,,OAS3,TSNAXIP1
,,,,,,EIF4EBP1,,,MAN2C1,,,,,,,,,,SFI1,DZIP1L
,,,,,,BATF3,,,POLK,,,,,,,,,,PDPR,STOML3
,,,,,,CEMIP,,,PKNOX1,,,,,,,,,,ABL1,FAM216B
,,,,,,IGFL1,,,ZFC3H1,,,,,,,,,,ZNF57,ANKRD66
,,,,,,MALL,,,SNX18,,,,,,,,,,RNF149,AKAP14
,,,,,,SYNE1,,,RASAL2,,,,,,,,,,TUSC1,CDHR4
,,,,,,CHPT1,,,DUSP11,,,,,,,,,,HERC1,TEKT1
,,,,,,DNAJB2,,,WDR26,,,,,,,,,,NEK1,MORN5
,,,,,,FAM107A,,,MEF2D,,,,,,,,,,PNPLA8,OMG
,,,,,,ZBTB20,,,TNIP2,,,,,,,,,,DOCK2,
,,,,,,TMEM163,,,WDR37,,,,,,,,,,MIR181A1HG,
,,,,,,DOK5,,,PPM1B,,,,,,,,,,DDX6,
,,,,,,MPRIP-AS1,,,NDRG2,,,,,,,,,,SDCCAG8,
,,,,,,PDZK1IP1,,,NAV3,,,,,,,,,,CPD,
,,,,,,NOX4,,,SECISBP2L,,,,,,,,,,NPIPB5,
,,,,,,SMAD9,,,ZNF708,,,,,,,,,,CLCF1,
,,,,,,NR4A1,,,LIMK1,,,,,,,,,,ITPR2,
,,,,,,JSRP1,,,RCAN2,,,,,,,,,,AFF1,
,,,,,,RGCC,,,STAM,,,,,,,,,,SNAP23,
,,,,,,COL8A1,,,APOL1,,,,,,,,,,KRBOX4,
,,,,,,PHACTR3,,,TRIM13,,,,,,,,,,ANO6,
,,,,,,CPNE8,,,AJAP1,,,,,,,,,,VASN,
,,,,,,UPP1,,,CCDC32,,,,,,,,,,TRAF3,
,,,,,,ZFP36,,,RIN2,,,,,,,,,,SLC11A2,
,,,,,,NFATC1,,,CKLF,,,,,,,,,,KMT2C,
,,,,,,KRT8,,,HAUS3,,,,,,,,,,LINC01089,
,,,,,,TGFB1,,,MAN2A1,,,,,,,,,,LZTR1,
,,,,,,ST6GALNAC3,,,SFR1,,,,,,,,,,SCX,
,,,,,,FSTL3,,,DENND3,,,,,,,,,,TSC1,
,,,,,,ZBED2,,,AP1S2,,,,,,,,,,MEF2D,
,,,,,,CHN1,,,LATS1,,,,,,,,,,ATG16L2,
,,,,,,C6orf141,,,XRRA1,,,,,,,,,,WDR19,
,,,,,,SELENOM,,,SSBP2,,,,,,,,,,ADPGK,
,,,,,,KLK1,,,LNPEP,,,,,,,,,,NBEAL2,
,,,,,,SEMA3B,,,GPS2,,,,,,,,,,FGFR1OP2,
,,,,,,SLC7A8,,,BACH2,,,,,,,,,,ZNF721,
,,,,,,HTRA3,,,YPEL2,,,,,,,,,,RPS6KB1,
,,,,,,PRSS21,,,SETDB2,,,,,,,,,,PPIL2,
,,,,,,TUBB2B,,,TP53INP2,,,,,,,,,,IFI44,
,,,,,,ST8SIA4,,,VAV3,,,,,,,,,,POFUT2,
,,,,,,EIF4A1,,,RRP12,,,,,,,,,,EXOC8,
,,,,,,SCG5,,,TIFA,,,,,,,,,,AKT3,
,,,,,,CAPN12,,,KLF9,,,,,,,,,,H6PD,
,,,,,,LGALS3,,,SSH1,,,,,,,,,,AKAP10,
,,,,,,DPYD,,,WWP2,,,,,,,,,,ZFYVE1,
,,,,,,SLC7A11,,,TRIM52,,,,,,,,,,CD276,
,,,,,,PRSS3,,,IQGAP2,,,,,,,,,,ETV7,
,,,,,,MLPH,,,SLFN11,,,,,,,,,,UTP3,
,,,,,,ARL4A,,,C1R,,,,,,,,,,BTBD9,
,,,,,,RGN,,,WDR48,,,,,,,,,,SYNRG,
,,,,,,IL15,,,IKBIP,,,,,,,,,,NPIPA1,
,,,,,,PLEKHB1,,,SMOX,,,,,,,,,,SLC16A4,
,,,,,,NID2,,,RALA,,,,,,,,,,VAMP4,
,,,,,,LDLRAD4,,,LINC00847,,,,,,,,,,USP38,
,,,,,,RBP7,,,PDGFB,,,,,,,,,,VWA1,
,,,,,,DUSP1,,,FNIP1,,,,,,,,,,HOXB-AS1,
,,,,,,EDN2,,,DMTF1,,,,,,,,,,SERPINB8,
,,,,,,CSF3,,,DIP2B,,,,,,,,,,MED13L,
,,,,,,GJA1,,,KHNYN,,,,,,,,,,SEMA6A,
,,,,,,FNDC4,,,IREB2,,,,,,,,,,FGFRL1,
,,,,,,RASD1,,,ABTB1,,,,,,,,,,GAS5,
,,,,,,MAP2K6,,,SLC4A7,,,,,,,,,,MFSD2A,
,,,,,,HLA-A,,,NCOA2,,,,,,,,,,OLFML3,
,,,,,,LRP4,,,PRKAG2,,,,,,,,,,ST6GALNAC4,
,,,,,,ACSL5,,,IRF9,,,,,,,,,,LCP1,
,,,,,,SLC6A13,,,PEAK1,,,,,,,,,,ZNF385A,
,,,,,,RHOD,,,ITPKC,,,,,,,,,,SERTAD3,
,,,,,,SFRP5,,,PJA2,,,,,,,,,,ACTA2,
,,,,,,ALDH1A1,,,NPIPB15,,,,,,,,,,SEC24D,
,,,,,,SERPINA1,,,ARL6IP5,,,,,,,,,,KCNQ1OT1,
,,,,,,RARRES2,,,ZNF746,,,,,,,,,,CACNA1D,
,,,,,,PDLIM4,,,SACS,,,,,,,,,,L3MBTL3,
,,,,,,SLC18A2,,,IDI1,,,,,,,,,,STX2,
,,,,,,MAP6,,,MT-ATP8,,,,,,,,,,GTF2H2,
,,,,,,GADD45G,,,TNKS,,,,,,,,,,SDCBP2,
,,,,,,SLC14A1,,,ZCCHC3,,,,,,,,,,HACD4,
,,,,,,FOSB,,,TBC1D2,,,,,,,,,,TP53TG1,
,,,,,,APOD,,,ETV3,,,,,,,,,,IFI16,
,,,,,,HSPA6,,,NEK7,,,,,,,,,,ITGA5,
,,,,,,ADAMTSL2,,,TCTN3,,,,,,,,,,CLEC11A,
,,,,,,CBR3,,,LEPROTL1,,,,,,,,,,PMP22,
,,,,,,APOBR,,,ZNF432,,,,,,,,,,MAGED2,
,,,,,,GFRA1,,,RAP2B,,,,,,,,,,GAST,
,,,,,,SNHG8,,,ID2,,,,,,,,,,EGFL7,
,,,,,,RNASE1,,,PNPLA8,,,,,,,,,,NR2F2,
,,,,,,TMED6,,,IRAK4,,,,,,,,,,ZBTB20,
,,,,,,SOD3,,,TRIM23,,,,,,,,,,SPEF2,
,,,,,,NKD1,,,MBTD1,,,,,,,,,,RASGRP1,
,,,,,,OBP2A,,,NFKB2,,,,,,,,,,NME5,
,,,,,,TFF3,,,EEA1,,,,,,,,,,MGRN1,
,,,,,,ITGA1,,,TRIM69,,,,,,,,,,CPE,
,,,,,,CRNDE,,,LGALSL,,,,,,,,,,COL6A2,
,,,,,,BIRC3,,,AGTPBP1,,,,,,,,,,SPA17,
,,,,,,RHOB,,,IFI30,,,,,,,,,,NUDT16L1,
,,,,,,MYH7B,,,GTF2IRD2,,,,,,,,,,SDCBP,
,,,,,,SMS,,,GPC1,,,,,,,,,,DOK1,
,,,,,,GADD45B,,,HPS4,,,,,,,,,,ADRA2C,
,,,,,,SPATA18,,,DNAJB4,,,,,,,,,,EFHD2,
,,,,,,NEFH,,,SPTBN1,,,,,,,,,,BEX4,
,,,,,,B3GAT1,,,TIAM2,,,,,,,,,,ARMCX1,
,,,,,,MT2A,,,CLEC2D,,,,,,,,,,PALLD,
,,,,,,IGFBP2,,,TMEM154,,,,,,,,,,LFNG,
,,,,,,GAL,,,PER2,,,,,,,,,,TNIK,
,,,,,,KLK4,,,ZNF84,,,,,,,,,,LTF,
,,,,,,KRT6A,,,POLM,,,,,,,,,,TMEM176B,
,,,,,,TIMP1,,,THAP2,,,,,,,,,,SIAH2,
,,,,,,TUBA3D,,,MED15,,,,,,,,,,TMEM106A,
,,,,,,HSPA1B,,,MTMR4,,,,,,,,,,ADIRF,
,,,,,,SLC47A1,,,TOGARAM1,,,,,,,,,,MATN3,
,,,,,,PAGE2B,,,PTPN6,,,,,,,,,,BLVRB,
,,,,,,PCCA,,,LRCH3,,,,,,,,,,VPS35L,
,,,,,,ADGRG2,,,TNRC6A,,,,,,,,,,MYL9,
,,,,,,MUC6,,,VCPIP1,,,,,,,,,,SLC7A2,
,,,,,,CST5,,,KLK11,,,,,,,,,,MDGA1,
,,,,,,IGFBP7,,,CTBP1-DT,,,,,,,,,,GDAP1,
,,,,,,HSPB1,,,IMPA1,,,,,,,,,,ZNF37BP,
,,,,,,DPEP1,,,MYO5A,,,,,,,,,,IL7R,
,,,,,,DKK4,,,MACO1,,,,,,,,,,CLDN4,
,,,,,,BTLA,,,PARP8,,,,,,,,,,SAMD11,
,,,,,,DNAJB1,,,SMG6,,,,,,,,,,ZNF556,
,,,,,,HSPA1A,,,LENG8-AS1,,,,,,,,,,UBALD1,
,,,,,,SPINK13,,,ZNF57,,,,,,,,,,ANKRD36C,
,,,,,,CLU,,,MAPKAPK2,,,,,,,,,,PTGS2,
,,,,,,MUCL1,,,RAB21,,,,,,,,,,SNHG5,
,,,,,,PI3,,,TMEM43,,,,,,,,,,SIVA1,
,,,,,,FSTL5,,,TXNRD1,,,,,,,,,,ABHD2,
,,,,,,MT-ND1,,,NPIPB5,,,,,,,,,,C6orf141,
,,,,,,DBH-AS1,,,PANX1,,,,,,,,,,SHC2,
,,,,,,HDC,,,KLHL20,,,,,,,,,,CCDC78,
,,,,,,SLC47A2,,,LZTR1,,,,,,,,,,KCNK6,
,,,,,,TRDC,,,JAG1,,,,,,,,,,HS3ST3B1,
,,,,,,PAGE5,,,RGS10,,,,,,,,,,HSPB8,
,,,,,,IFI27,,,TMEM38B,,,,,,,,,,PRR9,
,,,,,,CST1,,,RPA2,,,,,,,,,,MLPH,
,,,,,,MT-ND3,,,CD99,,,,,,,,,,KIF1A,
,,,,,,MT-CO1,,,PDPR,,,,,,,,,,UBN1,
,,,,,,MT-CYB,,,CEP135,,,,,,,,,,LPAR1,
,,,,,,MT-ATP6,,,STAT6,,,,,,,,,,SNHG16,
,,,,,,MT-CO2,,,EHF,,,,,,,,,,OTULINL,
,,,,,,,,,CSPP1,,,,,,,,,,CSF3R,
,,,,,,,,,HTR3A,,,,,,,,,,ZMYND10,
,,,,,,,,,MAPT,,,,,,,,,,EHD2,
,,,,,,,,,PLAUR,,,,,,,,,,IGFBP4,
,,,,,,,,,UBN1,,,,,,,,,,PREX1,
,,,,,,,,,GNAI2,,,,,,,,,,ZNF275,
,,,,,,,,,SLAIN1,,,,,,,,,,ALPL,
,,,,,,,,,CPNE7,,,,,,,,,,ARMCX6,
,,,,,,,,,CXCR4,,,,,,,,,,TRAF3IP3,
,,,,,,,,,C6orf141,,,,,,,,,,DYNC2H1,
,,,,,,,,,TCF12,,,,,,,,,,SNHG3,
,,,,,,,,,IGF1R,,,,,,,,,,MPP7,
,,,,,,,,,CRLF1,,,,,,,,,,PLA2G7,
,,,,,,,,,KIAA0513,,,,,,,,,,DANCR,
,,,,,,,,,TRABD2A,,,,,,,,,,PLAG1,
,,,,,,,,,LPCAT1,,,,,,,,,,FAS,
,,,,,,,,,SERPINA3,,,,,,,,,,HPGD,
,,,,,,,,,CCDC88C,,,,,,,,,,RBM24,
,,,,,,,,,ELP5,,,,,,,,,,CEP126,
,,,,,,,,,PLXND1,,,,,,,,,,OIP5-AS1,
,,,,,,,,,GSN,,,,,,,,,,MSX2,
,,,,,,,,,MLLT3,,,,,,,,,,PARP11,
,,,,,,,,,KCNK15,,,,,,,,,,GREB1,
,,,,,,,,,MAST4,,,,,,,,,,RTN1,
,,,,,,,,,SPOCD1,,,,,,,,,,LINC01602,
,,,,,,,,,KDM7A,,,,,,,,,,MAPT,
,,,,,,,,,FMN1,,,,,,,,,,HOXB2,
,,,,,,,,,TMCC3,,,,,,,,,,DLK2,
,,,,,,,,,BCAS4,,,,,,,,,,MT-TP,
,,,,,,,,,CPED1,,,,,,,,,,NKD2,
,,,,,,,,,IFI27L2,,,,,,,,,,VWA5A,
,,,,,,,,,PHLDA3,,,,,,,,,,ASPHD2,
,,,,,,,,,CGNL1,,,,,,,,,,DSG1,
,,,,,,,,,PXMP4,,,,,,,,,,ZNF385D,
,,,,,,,,,NRCAM,,,,,,,,,,PRELP,
,,,,,,,,,KCNQ1,,,,,,,,,,GPRC5C,
,,,,,,,,,TBC1D9,,,,,,,,,,CDHR3,
,,,,,,,,,MXD4,,,,,,,,,,MEIS3,
,,,,,,,,,CPD,,,,,,,,,,CPED1,
,,,,,,,,,PTPRE,,,,,,,,,,IL1RL1,
,,,,,,,,,P3H2,,,,,,,,,,SNHG18,
,,,,,,,,,GCNT1,,,,,,,,,,BEX5,
,,,,,,,,,CAVIN3,,,,,,,,,,PROCR,
,,,,,,,,,GALM,,,,,,,,,,GALC,
,,,,,,,,,IGF1,,,,,,,,,,TMEM213,
,,,,,,,,,FAS,,,,,,,,,,CA8,
,,,,,,,,,KRTCAP3,,,,,,,,,,PCP4,
,,,,,,,,,SLC6A14,,,,,,,,,,DYNLRB2,
,,,,,,,,,PDGFRL,,,,,,,,,,CCDC74B,
,,,,,,,,,APOBEC3G,,,,,,,,,,ROR2,
,,,,,,,,,FAM3B,,,,,,,,,,DNAJC12,
,,,,,,,,,EVA1C,,,,,,,,,,CA2,
,,,,,,,,,MEIS3,,,,,,,,,,AFF3,
,,,,,,,,,RASGRP3,,,,,,,,,,EPB41L3,
,,,,,,,,,FAXDC2,,,,,,,,,,DLC1,
,,,,,,,,,DOCK11,,,,,,,,,,ACADSB,
,,,,,,,,,NMD3,,,,,,,,,,TGFB3,
,,,,,,,,,EMP2,,,,,,,,,,BCAS4,
,,,,,,,,,FOXA1,,,,,,,,,,TCEAL9,
,,,,,,,,,ARMCX3,,,,,,,,,,RPL41P1,
,,,,,,,,,CMBL,,,,,,,,,,CCL22,
,,,,,,,,,IQCN,,,,,,,,,,MXRA8,
,,,,,,,,,ZNF516,,,,,,,,,,PLIN5,
,,,,,,,,,SERINC2,,,,,,,,,,ARC,
,,,,,,,,,REC8,,,,,,,,,,TIMP1,
,,,,,,,,,SPDEF,,,,,,,,,,GPX3,
,,,,,,,,,NOSTRIN,,,,,,,,,,CCDC74A,
,,,,,,,,,CA8,,,,,,,,,,BCHE,
,,,,,,,,,SPATA13,,,,,,,,,,SNCG,
,,,,,,,,,TRMT9B,,,,,,,,,,NOVA1,
,,,,,,,,,SKAP1,,,,,,,,,,LONRF2,
,,,,,,,,,PIP,,,,,,,,,,RBM3,
,,,,,,,,,IGFBP4,,,,,,,,,,MZB1,
,,,,,,,,,PLEKHG1,,,,,,,,,,IGFBP2,
